,,
,После применения техник тест-дизайна,
,,
,Проверка,Результат
,Smoke,
,Проверка главной страницы,Skipped
,Проверка UX/UI,Passed
,Проверка формы авторизации,Passed
,Проверка формы регистрации,Skipped
,Проверка формы сброса пароля,Passed
,Проверка страницы личный кабинет,Passed
,Проверка формы личных данных,Passed
,Проверка формы безопасности,Passed
,Проверка формы изменения телефона,Failed
,Проверка формы смены пароля,Passed
,Проверка формы пользовательских документов,Passed
,Проверка формы паспорта,Passed
,Проверка формы диплома,Passed
,Проверка формы договора,Passed
,Проверка формы согласия,Passed
,Проверка формы диплома и сертификата,Passed
,Проверка боковой панели,Passed
,Проверка Footer`а,Passed
,,
,Общий,
,Формы,
,Позитивная проверка форм,Passed
,Негативная проверка форм,Passed
,,
,Поля ввода,
,Попарная проверка валидации полей,Passed
,Проверка отображения  плейсхолдеров ,Failed
,,
,Ссылки и интеграции,
,Проверка ссылок,Failed
,Проверка интеграций,Passed
,Проверка работы якорей,Passed
,,
,Обработка ошибок ,
,Тестирование заполнения обязательных полей,Failed
,Проверка отображение заглушек,Failed
,Проверка наличия ошибок консоли,Failed
,,
,Работа с БД,
,Тестирование обмена данными форм с БД,Failed
,,
,"Кеш, cookie и сессии",
,Проверка кэша,Passed
,Проверка работы токенов,Failed
,Проверка наличия куки,Passed
,,
,Безопасность,
,Тестирование инъекций,Failed
,Проверка шифрования ,Passed
,,
,UX/UI,
,Проверка орфографических и грамматических ошибок,Passed
,"Проверка картинок, шрифтов, текстов",Passed
,Проверка отступов между элементами,Passed
,Тестирование форм при разных разрешениях экрана,Passed
,,
,Кросс-платформенное тестирование,
,Тестирование в различных средах,Passed
,,
,Автотесты,
,Проведение авто-тестов,Failed
