ID,Suite Title,Title,Description
,Раздел Корзина,,
1,Корзина,Отображение раздела Корзина в блоке Меню,
3,Корзина,"Отображение счетчика добавленных позиций (<99, 99, 99<)",
4,Корзина,Открытие модального окна,
5,Модальное окно,Отображение счетчика добавленных блюд,
6,Модальное окно,"Окончания слова (блюдо, блюда, блюд) в зависимости от кол-во позиций",
7,Модальное окно,Отображение карточек добавленных позиций,
8,Модальное окно,"Превью карточки блюда (Название, изображение)",
9,Модальное окно,Степпер кол-ва для блюда (минимальное 1),Уточнить максимальное число
10,Модальное окно,Отображение стоимости за единицу (слева от степпера),
11,Модальное окно,Отображение стоимости за выбранное кол-во на степпере (справа от степпера),
12,Модальное окно,Удаление позиции из корзины (клик на крестик),
13,Модальное окно,Наличие кнопки Закрытия (закрыть модальное окно),
14,Модальное окно,Отображение суммы заказа - “Всего”,
15,Модальное окно,Отображение налога со стороны ресторана - “Сервисный сбор”,
16,Модальное окно,Отображение суммы заказа + сервисный сбор - “Всего с учетом сбора”,
17,Модальное окно,Переход на страницу Оплата при клике на кнопку подтверждения заказа,
18,Модальное окно,Отображение заглушки “В корзине пусто”,
19,Модальное окно,Отображение заглушки “Отсутствует подключение к сети”,
20,Модальное окно,Кнопка обновления модального окна при отсутствии подключения к сети,
