,,,
,Проверка,Результат,Комментарий
,Smoke,,
,Проверка главной страницы,Skipped,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна страницы и элементов"
,Проверка заголовока страницы и логотипа,Passed,Проверка дизайна
,Проверка формы авторизации,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов"
,Проверка формы регистрации,Skipped,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов"
,Проверка формы сброса пароля,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов"
,Проверка страницы личный кабинет,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна страницы и элементов"
,Проверка формы личных данных,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов"
,Проверка формы безопасности,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов"
,Проверка формы изменения телефона,BUG,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов
 Багрепорт — T28"
,Проверка формы смены пароля,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов"
,Проверка формы пользовательских документов,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов"
,Проверка формы паспорта,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов"
,Проверка формы диплома,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов"
,Проверка формы договора,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов"
,Проверка формы согласия,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов"
,Проверка формы диплома и сертификата,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна формы и элементов"
,Проверка боковой панели,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна боковой панели"
,Проверка Footer`а,Passed,"Проверка наличия элементов, функционала кнопок и ссылок, дизайна Footer`а"
,,,
,Общий,,
,Регистрация,,
,Пользователь с данными существует в системе.,Skipped,Функционал не реализован или отсутствует на стейдже
,Пользователь с данными не существует в системе.,Skipped,Функционал не реализован или отсутствует на стейдже
,"Пользователь, заблокированный в системе, не может пройти повторную регистрацию.",Skipped,Функционал не реализован или отсутствует на стейдже
,,,
,Авторизация,,
,Валидация полей ввода.,Passed,
,Попытка авторизации с не валидным данными,Passed,
,Попытка авторизации с валидным данными,Passed,
,Функция отображения пароля (глаз),BUG, Багрепорт — T41
,,,
,Валидация обязательных полей,,
,Максимальная и минимальная длина.,BUG,Багрепорт — T173
,"Диапазон допустимых символов, спецсимволы.",BUG, Багрепорт — T173
,Обязательность к заполнению.,BUG, Багрепорт — T173
,Система не отображает окно ошибки при незаполненных необязательных полях.,BUG, Багрепорт — T173
,,,
,Ссылки на пользовательские соглашения,Passed,Функционал не реализован или отсутствует на стейдже
,,,
,Формы ввода,,
,"Числовые поля: они не должны принимать буквы, в этом случае должно отображаться соответствующее сообщение об ошибке.",Passed,
,Отрицательные значения в числовых полях,Failed,"Дефект не оформлен, уточняется "
,Протестируйте все поля ввода на спецсимволы.,Passed,
,Проверить что текст не выезжает за границы поля.,Passed,
,,,
,Всплывающие сообщения,,
,Всплывающие сообщения («Это поле ограничено N знаками»).,Failed,"Дефект не оформлен, уточняется "
,Подтверждающие сообщения отображается для операций обновления и удаления.,Failed,"Дефект не оформлен, уточняется "
,Сообщения об ошибках ввода.,Passed,
,Функциональность доступных кнопок.,Passed,
,,,
,"Проверка обработки различных ошибок (страница не найдена, тайм-аут, ошибка сервера и т.д.).",Passed,
,,,
,Проверка отображения ранее загруженных документов.,Passed,
,,,
,Работа с файлами,,
,"Функционал позволяет скачать/прикрепить/загрузить файлы/медиа (картинки, видео и т.д.).",Passed,
,Тестирование валидации формы загрузки файлов,BUG," Багрепорт - T164 , Багрепорт - T165 "
,Тестирование системы безопастности. Загрузка вирусного файла ,BUG, Багрепорт — T207
,Функционал позволяет удалить ранее загруженные файлы.,BUG, Багрепорт — T166
,Проверить что файлы уходят на сервер только после нажатия соответствующей кнопки,Passed,
,,,
,Почтовая функциональность системы.,Passed,
,,,
,"Кеш, cookie и сессии",,
,Сохранение кэша,Passed,
,Длина сессии,Failed,"Дефект не оформлен, уточняется "
,,,
,DevTools,,
,Ошибки в Console.,Failed,"Дефект не оформлен, уточняется "
,Все стили загружаются.,Failed,"Дефект не оформлен, уточняется "
,Картинки загружаются.,Passed,
,,,
,Интеграционное тестирование,,
,Работа обратной связи телефон,Passed,
,Работа обратной связи email,Failed,"Дефект не оформлен, уточняется "
,,,
,Тестирование безопасности,,
,"Пользователь не может авторизоваться: под старым паролем, заблочен в сервисе, достиг лимита авторизаций, ввел чужой код верификации.",Passed,
,"Страницы, содержащие важные данные (пароль, номер кредитной карты и CVC, ответы на секретные вопросы и т. п.) открываются через HTTPS (SSL).",Passed,
,"Пароль скрыт астерисками на страницах: регистрация, «забыли пароль», «смена пароля».",Passed,
,Корректное отображение сообщений об ошибках.,Failed,"Дефект не оформлен, уточняется "
,Завершение сесcии после разлогина.,Passed,
,Доступ к закрытым разделам сайта.,Passed,
,SQL-инъекции.,Failed,"Дефект не оформлен, уточняется "
,Cross-Site Scripting (XSS) уязвимости.,Failed,"Дефект не оформлен, уточняется "
,HTML-инъекции.,Failed,"Дефект не оформлен, уточняется "
